Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,FTNT,171.7,125,10137.5,10137.5,1.6,81.1,BUG
2,NOC,104.3,23,12208.4,22345.9,8.4,530.8,BUG
3,VRNS,100.7,133,7900.2,30246.1,1.5,59.4,BUG
4,CHKP,94.9,51,10516.2,40762.3,3.9,206.2,BUG
5,S,91.2,222,5860.8,46623.1,0.9,26.4,BUG
6,RDWR,86.0,333,7725.6,54348.7,0.6,23.2,BUG
7,OSPN,75.6,400,6160.0,60508.7,0.5,15.4,BUG
8,GEN,38.4,500,13600.0,74108.7,0.4,27.2,BUG
9,CYBR,17.6,23,6900.0,81008.7,8.4,300.0,BUG
10,PANW,13.3,23,8620.4,89629.1,8.6,374.8,BUG
11,NET,4.3,66,5992.8,95621.9,3.0,90.8,BUG
12,ATEN,2.4,666,9723.6,105345.5,0.3,14.6,BUG
13,BB,0.1,2000,5200.0,110545.5,0.1,2.6,BUG
14,RPD,-1.0,153,6089.4,116634.9,1.3,39.8,BUG
15,TENB,-1.1,200,8540.0,125174.9,1.0,42.7,BUG
16,ZS,-1.7,39,7410.0,132584.9,5.1,190.0,BUG
17,CRWD,-14.8,21,6512.1,139097.0,9.2,310.1,BUG
