Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,EQT,196.6,142,7526.0,7526.0,1.4,53.0,XLE
2,KMI,115.3,333,10089.9,17615.9,0.6,30.3,XLE
3,TRGP,89.9,40,8628.0,26243.9,4.9,215.7,XLE
4,BKR,76.8,200,9300.0,35543.9,1.0,46.5,XLE
5,WMB,67.0,166,9810.6,45354.5,1.2,59.1,XLE
6,CTRA,28.6,285,8407.5,53762.0,0.7,29.5,XLE
7,OKE,24.8,90,9810.0,63572.0,2.2,109.0,XLE
8,CVX,2.4,74,11951.0,75523.0,2.7,161.5,XLE
9,HES,2.2,66,9992.4,85515.4,3.0,151.4,XLE
10,EOG,0.5,76,10381.6,95897.0,2.6,136.6,XLE
11,HAL,-0.9,250,7475.0,103372.0,0.8,29.9,XLE
12,SLB,-4.5,181,7891.6,111263.6,1.1,43.6,XLE
13,OXY,-4.6,166,8632.0,119895.6,1.2,52.0,XLE
14,VLO,-4.8,52,7337.2,127232.8,3.8,141.1,XLE
15,FANG,-6.6,48,8649.6,135882.4,4.1,180.2,XLE
16,APA,-9.1,250,6100.0,141982.4,0.8,24.4,XLE
