Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MPC,186.8,47,9230.8,9230.8,5.1,196.4,XOP
2,TRGP,169.2,114,12870.6,22101.4,2.1,112.9,XLE
3,EGY,167.9,799,5433.2,27534.6,0.3,6.8,XOP
4,PR,159.6,599,10242.9,37777.5,0.4,17.1,XOP
5,SM,158.3,199,9571.9,47349.4,1.2,48.1,XOP
6,VLO,156.3,54,8850.6,56200.0,4.4,163.9,XOP
7,FANG,155.9,63,12644.1,68844.1,3.8,200.7,XOP
8,PBF,144.2,133,7434.7,76278.8,1.8,55.9,XOP
9,AR,134.0,266,7793.8,84072.6,0.9,29.3,XOP
10,PSX,96.3,61,9436.7,93509.3,3.9,154.7,XOP
11,OVV,95.5,218,11336.0,104845.3,1.1,52.0,XOP
12,VTLE,84.0,149,8016.2,112861.5,1.6,53.8,XOP
13,MGY,82.9,479,12262.4,125123.9,0.5,25.6,XOP
14,MTDR,82.6,133,8591.8,133715.7,1.8,64.6,XOP
15,GPOR,75.2,58,8949.4,142665.1,4.1,154.3,XOP
16,PXD,63.7,57,15407.1,158072.2,4.2,270.3,XOP
17,XOM,62.9,119,14268.1,172340.3,2.0,119.9,XOP
18,CNX,56.5,479,11496.0,183836.3,0.5,24.0,XOP
19,WKC,55.9,479,11783.4,195619.7,0.5,24.6,XOP
20,BRY,53.3,1199,10071.6,205691.3,0.2,8.4,XOP
21,OKE,52.6,199,15840.4,221531.7,1.2,79.6,XLE
22,SBOW,46.4,218,6561.8,228093.5,1.1,30.1,XOP
23,SWN,45.6,1199,8752.7,236846.2,0.2,7.3,XOP
24,MRO,44.3,399,10972.5,247818.7,0.6,27.5,XOP
25,RRC,43.8,342,12072.6,259891.3,0.7,35.3,XOP
26,DK,42.9,266,7900.2,267791.5,0.9,29.7,XOP
27,OXY,38.7,171,11388.6,279180.1,1.4,66.6,XOP
28,DVN,32.1,218,11292.4,290472.5,1.1,51.8,XOP
29,WMB,26.1,399,15361.5,305834.0,0.6,38.5,XLE
30,COP,23.2,104,13457.6,319291.6,2.3,129.4,XOP
31,REX,22.7,88,4945.6,324237.2,2.7,56.2,XOP
32,CTRA,22.4,479,13316.2,337553.4,0.5,27.8,XOP
33,HAL,19.2,266,10400.6,347954.0,0.9,39.1,XLE
34,DINO,18.7,149,8463.2,356417.2,1.6,56.8,XOP
35,CHRD,18.1,70,12600.0,369017.2,3.4,180.0,XOP
36,HES,17.0,88,13587.2,382604.4,2.7,154.4,XOP
37,CVX,16.6,99,15840.0,398444.4,2.4,160.0,XOP
38,NOG,16.4,266,11305.0,409749.4,0.9,42.5,XOP
39,TPL,16.2,13,7573.8,417323.2,17.6,582.6,XOP
40,EOG,13.8,99,13186.8,430510.0,2.4,133.2,XOP
41,STR,13.8,399,9576.0,440086.0,0.6,24.0,XOP
42,CIVI,13.1,149,10817.4,450903.4,1.6,72.6,XOP
43,MUR,12.8,239,10994.0,461897.4,1.0,46.0,XOP
44,VTS,9.2,399,9177.0,471074.4,0.6,23.0,XOP
45,CRC,3.1,159,8649.6,479724.0,1.5,54.4,XOP
46,KMI,2.0,799,15021.2,494745.2,0.3,18.8,XLE
47,CRK,0.5,799,7590.5,502335.7,0.3,9.5,XOP
48,TALO,-0.0,599,8086.5,510422.2,0.4,13.5,XOP
49,BKR,0.0,399,13007.4,523429.6,0.6,32.6,XLE
50,EQT,-2.0,266,9762.2,533191.8,0.9,36.7,XOP
