Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,FSLR,429.2,19,5198.4,5198.4,16.3,273.6,SPX
2,MRNA,311.7,33,4620.0,9818.4,9.6,140.0,QQQ
3,NRG,281.6,94,7388.4,17206.8,3.4,78.6,SPX
4,MU,251.5,68,9615.2,26822.0,4.7,141.4,QQQ
5,CEG,249.5,31,6661.9,33483.9,10.1,214.9,QQQ
6,DELL,248.7,33,4455.0,37938.9,9.5,135.0,SPX
7,NEE,181.8,177,12938.7,50877.6,1.8,73.1,SPX
8,GE,171.8,82,12783.8,63661.4,3.9,155.9,SPX
9,TER,158.3,69,10011.9,73673.3,4.6,145.1,SPX
10,NVDA,156.3,64,8441.6,82114.9,5.0,131.9,QQQ
11,FCX,141.0,177,8513.7,90628.6,1.8,48.1,SPX
12,WDC,135.6,133,10387.3,101015.9,2.4,78.1,SPX
13,NEM,133.9,266,10852.8,111868.7,1.2,40.8,SPX
14,MMM,132.9,152,15336.8,127205.5,2.1,100.9,SPX
15,QCOM,120.6,50,10765.0,137970.5,6.3,215.3,QQQ
16,HWM,114.2,177,13965.3,151935.8,1.8,78.9,SPX
17,AES,108.8,533,10286.9,162222.7,0.6,19.3,SPX
18,GOOG,108.0,103,18375.2,180597.9,3.1,178.4,QQQ
19,GOOGL,107.2,103,18210.4,198808.3,3.1,176.8,QQQ
20,AZN,105.0,320,25472.0,224280.3,1.0,79.6,QQQ
21,NTAP,104.3,133,16784.6,241064.9,2.4,126.2,SPX
22,DAL,104.2,246,11980.2,253045.1,1.3,48.7,SPX
23,RCL,96.9,78,11583.0,264628.1,4.1,148.5,SPX
24,GRMN,95.8,118,18821.0,283449.1,2.7,159.5,SPX
25,PEG,95.0,266,19311.6,302760.7,1.2,72.6,SPX
26,WAB,90.7,118,18915.4,321676.1,2.7,160.3,SPX
27,IFF,85.1,177,16726.5,338402.6,1.8,94.5,SPX
28,CMG,84.7,5,16358.5,354761.1,62.3,3271.7,SPX
29,UAL,80.8,188,9343.6,364104.7,1.7,49.7,SPX
30,GNRC,80.5,59,7965.0,372069.7,5.4,135.0,SPX
31,TRGP,78.6,145,17255.0,389324.7,2.2,119.0,SPX
32,DPZ,78.5,32,16684.8,406009.5,9.8,521.4,SPX
33,JCI,77.4,188,13047.2,419056.7,1.7,69.4,SPX
34,PWR,75.3,42,11478.6,430535.3,7.5,273.3,SPX
35,RTX,74.3,228,23757.6,454292.9,1.4,104.2,SPX
36,GS,72.3,39,17413.5,471706.4,8.1,446.5,SPX
37,LDOS,68.7,160,22992.0,494698.4,2.0,143.7,SPX
38,TT,68.6,42,13843.2,508541.6,7.6,329.6,SPX
39,SO,68.5,266,20934.2,529475.8,1.2,78.7,SPX
40,TXN,65.4,82,15899.8,545375.6,3.9,193.9,QQQ
41,WMB,64.7,457,18828.4,564204.0,0.7,41.2,SPX
42,WRK,64.6,320,15904.0,580108.0,1.0,49.7,SPX
43,HAS,64.4,188,11562.0,591670.0,1.7,61.5,SPX
44,ACGL,64.1,168,16346.4,608016.4,1.9,97.3,SPX
45,IP,59.0,266,11943.4,619959.8,1.2,44.9,SPX
46,BSX,59.0,320,24576.0,644535.8,1.0,76.8,SPX
47,ADI,58.4,54,12484.8,657020.6,5.9,231.2,QQQ
48,DD,56.1,228,18171.6,675192.2,1.4,79.7,SPX
49,FOX,55.6,640,19776.0,694968.2,0.5,30.9,SPX
50,BAC,54.6,400,15680.0,710648.2,0.8,39.2,SPX
