Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,SQSP,147.8,900,39330.0,39330.0,0.2,43.7,WCLD
2,AVPT,106.1,600,6180.0,45510.0,0.3,10.3,WCLD
3,QTWO,95.3,120,7404.0,52914.0,1.5,61.7,WCLD
4,CRWD,34.7,14,5455.8,58369.8,12.1,389.7,WCLD
5,WIX,26.1,47,7247.4,65617.2,3.8,154.2,WCLD
6,ZUO,21.5,600,5760.0,71377.2,0.3,9.6,WCLD
7,CWAN,20.6,300,5700.0,77077.2,0.6,19.0,WCLD
8,BIGC,6.4,600,4740.0,81817.2,0.3,7.9,WCLD
9,SMAR,2.3,128,5606.4,87423.6,1.4,43.8,WCLD
10,APPF,1.0,26,6567.6,93991.2,6.8,252.6,WCLD
11,TOST,1.0,200,5140.0,99131.2,0.9,25.7,WCLD
12,ESTC,0.8,51,5859.9,104991.1,3.5,114.9,WCLD
13,MNDY,0.8,24,5976.0,110967.1,7.4,249.0,WCLD
14,AI,-0.0,138,4126.2,115093.3,1.3,29.9,WCLD
15,NCNO,0.0,257,8095.5,123188.8,0.7,31.5,WCLD
16,ADBE,-1.1,12,6939.6,130128.4,15.0,578.3,WCLD
17,NOW,-1.2,11,8871.5,138999.9,15.8,806.5,WCLD
18,DDOG,-1.6,52,6999.2,145999.1,3.4,134.6,WCLD
19,IOT,-1.6,112,4110.4,150109.5,1.6,36.7,WCLD
20,ZS,-9.6,30,6048.0,156157.5,5.9,201.6,WCLD
21,PD,-10.3,257,5602.6,161760.1,0.7,21.8,WCLD
22,OKTA,-20.5,78,7511.4,169271.5,2.3,96.3,WCLD
23,AVDX,-21.2,600,7380.0,176651.5,0.3,12.3,WCLD
24,TEAM,-37.0,33,6180.9,182832.4,5.3,187.3,WCLD
25,NET,-38.3,78,6786.0,189618.4,2.3,87.0,WCLD
