Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MSTR,4914.4,8,2913.6,2913.6,40.0,364.2,IGV
2,PLTR,1557.9,69,5561.4,8475.0,4.6,80.6,IGV
3,BILL,544.5,91,8144.5,16619.5,3.5,89.5,IGV
4,DOCU,390.7,69,6513.6,23133.1,4.6,94.4,IGV
5,CFLT,281.3,228,6840.0,29973.1,1.4,30.0,IGV
6,HUBS,263.9,14,10066.0,40039.1,22.6,719.0,IGV
7,MARA,195.1,128,2560.0,42599.1,2.5,20.0,IGV
8,PCOR,173.6,114,8721.0,51320.1,2.8,76.5,IGV
9,ZM,128.6,100,8560.0,59880.1,3.2,85.6,IGV
10,U,109.6,200,4500.0,64380.1,1.6,22.5,IGV
11,GTLB,105.2,100,5980.0,70360.1,3.2,59.8,IGV
12,FIVN,104.0,188,8008.8,78368.9,1.7,42.6,IGV
13,SNAP,90.2,533,6076.2,84445.1,0.6,11.4,IGV
14,DBX,89.1,400,12080.0,96525.1,0.8,30.2,IGV
15,ALTR,80.3,355,38695.0,135220.1,0.9,109.0,IGV
16,DSGX,75.1,128,14656.0,149876.1,2.5,114.5,IGV
17,QLYS,66.2,88,12381.6,162257.7,3.6,140.7,IGV
18,NTNX,58.9,106,6900.6,169158.3,3.0,65.1,IGV
19,GWRE,51.0,53,9328.0,178486.3,6.0,176.0,IGV
20,AZPN,45.3,96,24067.2,202553.5,3.3,250.7,IGV
21,SMAR,33.2,3200,179200.0,381753.5,0.1,56.0,IGV
22,PATH,30.4,400,5280.0,387033.5,0.8,13.2,IGV
23,DT,28.4,200,10920.0,397953.5,1.6,54.6,IGV
24,DLB,22.4,200,15460.0,413413.5,1.6,77.3,IGV
25,MANH,18.9,38,10651.4,424064.9,8.4,280.3,IGV
26,ESTC,12.4,62,6423.2,430488.1,5.1,103.6,IGV
27,APPF,9.7,40,10072.0,440560.1,8.0,251.8,IGV
