Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,BB,662.3,1199,6234.8,6234.8,0.2,5.2,BUG
2,NET,300.2,37,6167.9,12402.7,6.4,166.7,BUG
3,ATEN,177.9,399,8179.5,20582.2,0.6,20.5,BUG
4,CRWD,117.5,15,6324.0,26906.2,15.0,421.6,BUG
5,CYBR,112.3,24,9223.2,36129.4,9.9,384.3,BUG
6,OSPN,97.1,342,6566.4,42695.8,0.7,19.2,BUG
7,FTNT,88.3,85,9154.5,51850.3,2.8,107.7,BUG
8,OKTA,83.9,88,8536.0,60386.3,2.7,97.0,BUG
9,ZS,2.5,38,7809.0,68195.3,6.2,205.5,BUG
10,PANW,0.1,42,8143.8,76339.1,5.7,193.9,BUG
11,CHKP,0.1,41,8700.2,85039.3,5.8,212.2,BUG
12,RDWR,-0.4,399,9177.0,94216.3,0.6,23.0,BUG
