Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,AR,322.4,239,8508.4,8508.4,1.0,35.6,XOP
2,EGY,223.0,1199,7673.6,16182.0,0.2,6.4,XOP
3,CRK,203.1,599,7008.3,23190.3,0.4,11.7,XOP
4,REX,149.3,119,5950.0,29140.3,2.0,50.0,XOP
5,TRGP,126.2,126,14893.2,44033.5,1.9,118.2,XLE
6,SM,114.5,184,9273.6,53307.1,1.3,50.4,XOP
7,RRC,106.6,218,8044.2,61351.3,1.1,36.9,XOP
8,SBOW,96.7,184,7212.8,68564.1,1.3,39.2,XOP
9,TPL,93.4,17,10443.1,79007.2,13.9,614.3,XOP
10,CNX,90.5,479,12597.7,91604.9,0.5,26.3,XOP
11,MGY,80.8,342,8892.0,100496.9,0.7,26.0,XOP
12,FANG,80.5,68,13552.4,114049.3,3.5,199.3,XOP
13,NOG,75.5,266,10879.4,124928.7,0.9,40.9,XOP
14,WMB,64.6,399,16558.5,141487.2,0.6,41.5,XLE
15,GPOR,63.9,57,9222.6,150709.8,4.2,161.8,XOP
16,CHRD,58.4,63,11680.2,162390.0,3.8,185.4,XOP
17,DVN,55.0,266,13060.6,175450.6,0.9,49.1,XOP
18,PR,48.6,599,9823.6,185274.2,0.4,16.4,XOP
19,XOM,47.9,114,13372.2,198646.4,2.1,117.3,XOP
20,OKE,47.9,199,16119.0,214765.4,1.2,81.0,XLE
21,KMI,46.2,799,15580.5,230345.9,0.3,19.5,XLE
22,CIVI,46.1,126,9273.6,239619.5,1.9,73.6,XOP
23,MRO,45.3,342,9918.0,249537.5,0.7,29.0,XOP
24,EQT,41.8,218,8959.8,258497.3,1.1,41.1,XOP
25,SWN,40.1,1199,8992.5,267489.8,0.2,7.5,XOP
26,EOG,40.0,99,12335.4,279825.2,2.4,124.6,XOP
27,CTRA,37.3,399,11371.5,291196.7,0.6,28.5,XOP
28,OVV,36.1,218,11270.6,302467.3,1.1,51.7,XOP
29,VTS,35.9,399,10174.5,312641.8,0.6,25.5,XOP
30,VLO,31.8,58,9111.8,321753.6,4.1,157.1,XOP
31,MUR,28.0,299,12797.2,334550.8,0.8,42.8,XOP
32,BKR,26.8,342,11457.0,346007.8,0.7,33.5,XLE
33,HES,21.5,88,13560.8,359568.6,2.7,154.1,XOP
34,CVX,20.2,95,15418.5,374987.1,2.5,162.3,XOP
35,OXY,18.0,218,13625.0,388612.1,1.1,62.5,XOP
36,MTDR,13.1,159,10096.5,398708.6,1.5,63.5,XOP
37,STR,10.2,479,11208.6,409917.2,0.5,23.4,XOP
38,CRGY,9.7,479,6035.4,415952.6,0.5,12.6,XOP
39,WKC,6.2,479,12597.7,428550.3,0.5,26.3,XOP
40,KOS,0.2,1199,7313.9,435864.2,0.2,6.1,XOP
41,CLNE,-19.6,1199,3716.9,439581.1,0.2,3.1,XOP
