Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,GWRE,102.3,106,15688.0,15688.0,3.0,148.0,IGV
2,SMAR,56.9,266,12874.4,28562.4,1.2,48.4,IGV
3,ESTC,45.6,80,9016.0,37578.4,4.0,112.7,IGV
4,APP,35.6,86,6665.0,44243.4,3.7,77.5,IGV
5,PLTR,32.8,266,7235.2,51478.6,1.2,27.2,IGV
6,SPSC,23.3,57,11913.0,63391.6,5.6,209.0,IGV
7,DSGX,15.2,168,16884.0,80275.6,1.9,100.5,IGV
8,MARA,11.7,160,3456.0,83731.6,2.0,21.6,IGV
9,MSTR,0.3,2,3505.4,87237.0,114.9,1752.7,IGV
10,MANH,0.0,39,10081.5,97318.5,8.2,258.5,IGV
11,IOT,-0.0,200,7500.0,104818.5,1.6,37.5,IGV
12,VRNS,0.0,200,9700.0,114518.5,1.6,48.5,IGV
13,S,-3.6,290,6670.0,121188.5,1.1,23.0,IGV
14,DBX,-5.6,800,19280.0,140468.5,0.4,24.1,IGV
15,ASAN,-8.6,533,8208.2,148676.7,0.6,15.4,IGV
16,GTLB,-11.9,128,6835.2,155511.9,2.5,53.4,IGV
