Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,GTLS,551.1,40,8732.0,8732.0,7.0,218.3,SP400
2,KD,453.6,254,9982.2,18714.2,1.1,39.3,SP400
3,NARI,321.6,116,9245.2,27959.4,2.4,79.7,SP400
4,RMBS,232.5,147,9261.0,37220.4,1.9,63.0,SP400
5,LITE,231.6,73,6986.1,44206.5,3.8,95.7,SP400
6,GME,225.8,164,4559.2,48765.7,1.7,27.8,SP400
7,CIEN,202.8,93,8983.8,57749.5,3.0,96.6,SP400
8,DECK,187.3,50,10860.0,68609.5,5.5,217.2,SP400
9,VST,186.6,29,5541.9,74151.4,9.4,191.1,SP400
10,ALTM,186.1,2800,16240.0,90391.4,0.1,5.8,SP400
11,IBKR,175.2,45,9855.0,100246.4,6.1,219.0,SP400
12,DTM,147.4,116,12922.4,113168.8,2.4,111.4,SP400
13,PEN,144.0,31,8497.1,121665.9,8.8,274.1,SP400
14,GDDY,142.9,63,13059.9,134725.8,4.4,207.3,SP400
15,MASI,141.0,56,9531.2,144257.0,5.0,170.2,SP400
16,FHN,139.8,560,11816.0,156073.0,0.5,21.1,SP400
17,WSM,139.5,53,11320.8,167393.8,5.2,213.6,SP400
18,WH,139.1,147,15405.6,182799.4,1.9,104.8,SP400
19,AR,136.0,233,9366.6,192166.0,1.2,40.2,SP400
20,MTSI,128.7,65,9373.0,201539.0,4.3,144.2,SP400
21,DOCS,128.6,147,8320.2,209859.2,1.9,56.6,SP400
22,SLM,126.2,350,10150.0,220009.2,0.8,29.0,SP400
23,PLNT,116.3,112,11748.8,231758.0,2.5,104.9,SP400
24,PSTG,113.4,121,8736.2,240494.2,2.3,72.2,SP400
25,EXEL,109.0,233,7549.2,248043.4,1.2,32.4,SP400
26,UNM,105.3,254,19050.0,267093.4,1.1,75.0,SP400
27,IART,102.4,311,8086.0,275179.4,0.9,26.0,SP400
28,GMED,101.7,147,13641.6,288821.0,1.9,92.8,SP400
29,JEF,98.6,116,8839.2,297660.2,2.4,76.2,SP400
30,RH,98.4,20,8374.0,306034.2,13.5,418.7,SP400
31,DBX,94.4,560,17640.0,323674.2,0.5,31.5,SP400
32,RRC,93.3,280,11256.0,334930.2,1.0,40.2,SP400
33,BRBR,89.1,175,13300.0,348230.2,1.6,76.0,SP400
34,EXLS,88.5,254,12471.4,360701.6,1.1,49.1,SP400
35,HQY,87.7,100,10690.0,371391.6,2.8,106.9,SP400
36,SFM,87.0,66,9688.8,381080.4,4.2,146.8,SP400
37,NBIX,84.6,90,13383.0,394463.4,3.1,148.7,SP400
38,CNM,78.7,215,12126.0,406589.4,1.3,56.4,SP400
39,SEIC,77.7,186,15791.4,422380.8,1.5,84.9,SP400
40,XPO,70.0,70,9737.0,432117.8,4.0,139.1,SP400
41,LOPE,67.1,84,14414.4,446532.2,3.3,171.6,SP400
42,UGI,66.7,560,16968.0,463500.2,0.5,30.3,SP400
43,FIX,66.6,16,8707.2,472207.4,16.7,544.2,SP400
44,MTZ,66.3,56,8948.8,481156.2,5.0,159.8,SP400
45,CFR,66.1,90,12537.0,493693.2,3.1,139.3,SP400
46,WTFC,65.5,75,9885.0,503578.2,3.7,131.8,SP400
47,ONB,65.0,466,10764.6,514342.8,0.6,23.1,SP400
48,PCTY,64.9,56,11564.0,525906.8,5.0,206.5,SP400
49,TGNA,64.8,700,12740.0,538646.8,0.4,18.2,SP400
50,MDU,64.3,700,12670.0,551316.8,0.4,18.1,SP400
