ticker,ETF,Exchange
KEYS,SPX
KMB,SPX
KIM,SPX
KMI,SPX
KR,SPX
LHX,SPX
LH,SPX
LW,SPX
LVS,SPX
LDOS,SPX
LEN,SPX
LIN,SPX
LYV,SPX
LKQ,SPX
LMT,SPX
L,SPX
LOW,SPX
LYB,SPX
MTB,SPX
MRO,SPX
MPC,SPX
MKTX,SPX
MMC,SPX
MLM,SPX
MAS,SPX
MA,SPX
MTCH,SPX
MKC,SPX
MCD,SPX
MCK,SPX
MDT,SPX
MRK,SPX
MET,SPX
MTD,SPX
MGM,SPX
MAA,SPX
MHK,SPX
MOH,SPX
TAP,SPX
MPWR,SPX
MCO,SPX
MS,SPX
MOS,SPX
MSI,SPX
MSCI,SPX
NDAQ,SPX
NTAP,SPX
NEM,SPX
NWSA,SPX
NWS,SPX
NEE,SPX
NKE,SPX
NI,SPX
NDSN,SPX
NSC,SPX
NTRS,SPX
NOC,SPX
NCLH,SPX
NRG,SPX
NUE,SPX
NVR,SPX
OXY,SPX
OMC,SPX
OKE,SPX
ORCL,SPX
OTIS,SPX
PKG,SPX
PARA,SPX
PH,SPX
PAYC,SPX
PNR,SPX
PFE,SPX
PCG,SPX
PM,SPX
PSX,SPX
PNW,SPX
PXD,SPX
PNC,SPX
POOL,SPX
PPG,SPX
PPL,SPX
PFG,SPX
PG,SPX
PGR,SPX
PLD,SPX
PRU,SPX
PEG,SPX
PTC,SPX
PSA,SPX
PHM,SPX
QRVO,SPX
PWR,SPX
DGX,SPX
RL,SPX
RJF,SPX
RTX,SPX
O,SPX
REG,SPX
RF,SPX
RSG,SPX
RMD,SPX
RVTY,SPX
RHI,SPX
ROK,SPX
ROL,SPX
RCL,SPX
SPGI,SPX
CRM,SPX
SBAC,SPX
SLB,SPX
STX,SPX
SRE,SPX
NOW,SPX
SHW,SPX
SPG,SPX
SWKS,SPX
SJM,SPX
SNA,SPX
SO,SPX
LUV,SPX
SWK,SPX
STT,SPX
STLD,SPX
STE,SPX
SYK,SPX
SYF,SPX
SYY,SPX
TROW,SPX
TPR,SPX
TRGP,SPX
TGT,SPX
TEL,SPX
TDY,SPX
TFX,SPX
TER,SPX
TXT,SPX
TMO,SPX
TJX,SPX
TSCO,SPX
TT,SPX
TDG,SPX
TRV,SPX
TRMB,SPX
TFC,SPX
TYL,SPX
TSN,SPX
USB,SPX
UBER,SPX
UDR,SPX
ULTA,SPX
UNP,SPX
UAL,SPX
UPS,SPX
URI,SPX
UNH,SPX
UHS,SPX
VLO,SPX
VTR,SPX
VLTO,SPX
VRSN,SPX
VZ,SPX
VFC,SPX
VTRS,SPX
VICI,SPX
V,SPX
VMC,SPX
WRB,SPX
WAB,SPX
WMT,SPX
DIS,SPX
WM,SPX
WAT,SPX
WEC,SPX
WFC,SPX
WELL,SPX
WST,SPX
WDC,SPX
WRK,SPX
WY,SPX
WHR,SPX
WMB,SPX
WTW,SPX
GWW,SPX
WYNN,SPX
XYL,SPX
YUM,SPX
ZBRA,SPX
ZBH,SPX
ZION,SPX
ZTS,SPX
DELL,SPX
