Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,OSPN,113.2,399,6423.9,6423.9,0.6,16.1,BUG
2,CHKP,104.9,70,13475.0,19898.9,3.4,192.5,BUG
3,VRNS,91.8,159,8999.4,28898.3,1.5,56.6,BUG
4,CYBR,42.2,28,8027.6,36925.9,8.5,286.7,BUG
5,PANW,33.8,20,7254.0,44179.9,11.8,362.7,BUG
6,GEN,32.6,479,12693.5,56873.4,0.5,26.5,BUG
7,RDWR,27.8,342,7455.6,64329.0,0.7,21.8,BUG
8,FTNT,12.7,104,7976.8,72305.8,2.3,76.7,BUG
9,S,8.8,239,5640.4,77946.2,1.0,23.6,BUG
10,ZS,7.6,42,8400.0,86346.2,5.6,200.0,BUG
11,NOC,2.9,30,15696.0,102042.2,7.9,523.2,BUG
12,NET,0.9,79,6485.9,108528.1,3.0,82.1,BUG
