Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,GTLS,561.6,38,7413.8,7413.8,8.4,195.1,SP400
2,ALTM,537.8,3200,18240.0,25653.8,0.1,5.7,SP400
3,KD,370.2,290,10643.0,36296.8,1.1,36.7,SP400
4,LITE,317.3,78,6583.2,42880.0,4.1,84.4,SP400
5,VST,305.2,42,7001.4,49881.4,7.6,166.7,SP400
6,MASI,236.2,66,10982.4,60863.8,4.8,166.4,SP400
7,GME,234.3,160,5168.0,66031.8,2.0,32.3,SP400
8,RMBS,232.3,152,8542.4,74574.2,2.1,56.2,SP400
9,IBKR,224.4,64,11852.8,86427.0,5.0,185.2,SP400
10,CIEN,223.7,86,7069.2,93496.2,3.7,82.2,SP400
11,DOCS,201.6,145,7554.5,101050.7,2.2,52.1,SP400
12,DECK,189.7,58,12035.0,113085.7,5.5,207.5,SP400
13,JEF,171.0,123,8794.5,121880.2,2.6,71.5,SP400
14,GDDY,161.0,71,13695.9,135576.1,4.5,192.9,SP400
15,DTM,160.2,123,12730.5,148306.6,2.6,103.5,SP400
16,MTSI,158.7,68,9037.2,157343.8,4.7,132.9,SP400
17,WH,154.8,152,15276.0,172619.8,2.1,100.5,SP400
18,EXEL,152.4,355,12780.0,185399.8,0.9,36.0,SP400
19,UNM,151.2,246,17662.8,203062.6,1.3,71.8,SP400
20,FHN,149.0,640,12864.0,215926.6,0.5,20.1,SP400
21,SFM,146.8,82,11316.0,227242.6,3.9,138.0,SP400
22,BRBR,143.5,213,15123.0,242365.6,1.5,71.0,SP400
23,XPO,135.9,61,8186.2,250551.8,5.2,134.2,SP400
24,SLM,131.9,400,10800.0,261351.8,0.8,27.0,SP400
25,RH,130.3,16,6624.0,267975.8,19.0,414.0,SP400
26,NARI,128.7,84,6661.2,274637.0,3.8,79.3,SP400
27,TGNA,120.7,640,11392.0,286029.0,0.5,17.8,SP400
28,MDU,116.1,800,14160.0,300189.0,0.4,17.7,SP400
29,PEN,113.9,34,8520.4,308709.4,9.3,250.6,SP400
30,IART,108.9,400,8720.0,317429.4,0.8,21.8,SP400
31,WSM,108.5,53,10441.0,327870.4,6.0,197.0,SP400
32,PCTY,107.6,57,10909.8,338780.2,5.6,191.4,SP400
33,SEIC,105.7,188,14852.0,353632.2,1.7,79.0,SP400
34,EXLS,103.1,355,16010.5,369642.7,0.9,45.1,SP400
35,DBX,101.7,400,11760.0,381402.7,0.8,29.4,SP400
36,AR,101.4,246,9421.8,390824.5,1.3,38.3,SP400
37,VAC,101.0,139,11564.8,402389.3,2.3,83.2,SP400
38,LAD,100.4,34,11621.2,414010.5,9.3,341.8,SP400
39,HQY,99.3,118,11835.4,425845.9,2.7,100.3,SP400
40,FIX,97.8,21,9240.0,435085.9,14.8,440.0,SP400
41,PSTG,97.6,145,9381.5,444467.4,2.2,64.7,SP400
42,PLNT,97.3,128,12979.2,457446.6,2.5,101.4,SP400
43,WBS,93.4,200,10740.0,468186.6,1.6,53.7,SP400
44,CFR,92.7,96,12729.6,480916.2,3.3,132.6,SP400
45,CG,86.4,188,9456.4,490372.6,1.7,50.3,SP400
46,FLS,85.2,246,14341.8,504714.4,1.3,58.3,SP400
47,GMED,84.4,168,14632.8,519347.2,1.9,87.1,SP400
48,KNF,83.8,80,7616.0,526963.2,4.0,95.2,SP400
49,WTFC,83.2,94,11712.4,538675.6,3.4,124.6,SP400
50,PNFP,82.1,91,10210.2,548885.8,3.5,112.2,SP400
