Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,TSLA,571.7,14,5664.4,5664.4,21.9,404.6,QQQ
2,UAL,503.3,71,7511.8,13176.2,4.5,105.8,SPX
3,TPR,386.5,152,11080.8,24257.0,2.1,72.9,SPX
4,MRVL,374.6,56,6322.4,30579.4,5.7,112.9,QQQ
5,AAL,326.1,457,7723.3,38302.7,0.7,16.9,SPX
6,TEAM,258.4,26,7976.8,46279.5,11.9,306.8,QQQ
7,LULU,255.5,25,10355.0,56634.5,12.7,414.2,QQQ
8,AXON,227.3,16,10435.2,67069.7,19.3,652.2,SPX
9,EQT,190.2,200,10220.0,77289.7,1.6,51.1,SPX
10,DFS,139.3,61,12267.1,89556.8,5.2,201.1,SPX
11,JBL,138.7,65,10556.0,100112.8,4.9,162.4,SPX
12,SYF,135.4,177,12213.0,112325.8,1.8,69.0,SPX
13,CCL,133.5,355,9833.5,122159.3,0.9,27.7,SPX
14,WBD,125.2,800,8320.0,130479.3,0.4,10.4,QQQ
15,NFLX,120.2,10,9768.0,140247.3,29.5,976.8,QQQ
16,RL,115.8,45,11236.5,151483.8,7.0,249.7,SPX
17,RCL,111.6,38,10130.8,161614.6,8.3,266.6,SPX
18,CRWD,111.6,21,8360.1,169974.7,15.1,398.1,QQQ
19,WFC,98.4,200,15760.0,185734.7,1.6,78.8,SPX
20,AMZN,97.8,59,14024.3,199759.0,5.4,237.7,QQQ
21,FOX,97.8,400,19440.0,219199.0,0.8,48.6,SPX
22,DAL,97.4,145,9758.5,228957.5,2.2,67.3,SPX
23,COF,95.3,65,13240.5,242198.0,4.9,203.7,SPX
24,BBWI,95.1,266,10001.6,252199.6,1.2,37.6,SPX
25,C,94.7,177,14407.8,266607.4,1.8,81.4,SPX
26,FFIV,93.4,43,12783.9,279391.3,7.4,297.3,SPX
27,RJF,93.1,80,13480.0,292871.3,4.0,168.5,SPX
28,AVGO,92.6,29,6417.7,299289.0,10.8,221.3,QQQ
29,DXCM,91.3,114,9895.2,309184.2,2.8,86.8,QQQ
30,FTNT,90.5,118,11906.2,321090.4,2.7,100.9,QQQ
31,LYV,85.6,128,18521.6,339612.0,2.5,144.7,SPX
32,GRMN,82.6,82,17703.8,357315.8,3.9,215.9,SPX
33,KMI,79.3,400,11000.0,368315.8,0.8,27.5,SPX
34,TTWO,77.4,69,12799.5,381115.3,4.6,185.5,QQQ
35,GOOGL,76.9,65,13260.0,394375.3,4.9,204.0,QQQ
36,GOOG,76.6,65,13364.0,407739.3,4.9,205.6,QQQ
37,TRGP,76.4,55,10824.0,418563.3,5.8,196.8,SPX
38,DASH,76.0,71,13404.8,431968.1,4.5,188.8,QQQ
39,TRMB,75.6,200,15000.0,446968.1,1.6,75.0,SPX
40,FOXA,74.5,355,18176.0,465144.1,0.9,51.2,SPX
41,ETR,72.3,160,12976.0,478120.1,2.0,81.1,SPX
42,EPAM,71.8,51,12954.0,491074.1,6.2,254.0,SPX
43,VFC,70.0,290,7540.0,498614.1,1.1,26.0,SPX
44,GS,68.7,22,14088.8,512702.9,14.3,640.4,SPX
45,NOW,68.0,8,8147.2,520850.1,36.0,1018.4,SPX
46,WMT,67.0,213,20916.6,541766.7,1.5,98.2,SPX
47,JPM,66.1,66,17641.8,559408.5,4.8,267.3,SPX
48,MS,63.2,100,13840.0,573248.5,3.2,138.4,SPX
49,CRM,62.1,32,10934.4,584182.9,9.9,341.7,SPX
50,V,60.6,64,21875.2,606058.1,5.0,341.8,SPX
