Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,VST,646.8,100,7530.0,7530.0,3.2,75.3,SP400
2,SWAV,458.2,29,9462.7,16992.7,10.7,326.3,SP400
3,FIX,435.0,37,11965.8,28958.5,8.6,323.4,SP400
4,CELH,408.2,68,5705.2,34663.7,4.7,83.9,SP400
5,EME,390.4,43,15695.0,50358.7,7.3,365.0,SP400
6,COHR,335.1,128,7372.8,57731.5,2.5,57.6,SP400
7,DKS,310.4,47,9813.6,67545.1,6.7,208.8,SP400
8,KNSL,303.9,22,9858.2,77403.3,14.1,448.1,SP400
9,PSTG,301.4,152,8177.6,85580.9,2.1,53.8,SP400
10,WING,286.5,23,8059.2,93640.1,13.6,350.4,SP400
11,XPO,269.7,88,11281.6,104921.7,3.6,128.2,SP400
12,ELF,265.1,32,5164.8,110086.5,9.8,161.4,SP400
13,CNM,260.0,200,11840.0,121926.5,1.6,59.2,SP400
14,SAIA,254.3,19,11267.0,133193.5,16.6,593.0,SP400
15,MKSI,250.8,74,9516.4,142709.9,4.3,128.6,SP400
16,THC,244.8,118,12059.6,154769.5,2.7,102.2,SP400
17,WSM,235.4,31,9591.4,164360.9,10.2,309.4,SP400
18,MEDP,221.0,31,12424.8,176785.7,10.2,400.8,SP400
19,EXP,219.2,58,15468.6,192254.3,5.5,266.7,SP400
20,IBKR,217.0,168,18933.6,211187.9,1.9,112.7,SP400
21,AYI,204.4,60,16314.0,227501.9,5.3,271.9,SP400
22,SFM,199.8,246,15621.0,243122.9,1.3,63.5,SP400
23,DECK,190.0,13,11438.7,254561.6,24.5,879.9,SP400
24,TXRH,173.7,114,17100.0,271661.6,2.8,150.0,SP400
25,CVLT,162.2,160,16032.0,287693.6,2.0,100.2,SP400
26,BRKR,156.4,177,16000.8,303694.4,1.8,90.4,SP400
27,NVT,154.2,213,16635.3,320329.7,1.5,78.1,SP400
28,RRX,152.1,80,13792.0,334121.7,4.0,172.4,SP400
29,TREX,141.9,133,12807.9,346929.6,2.4,96.3,SP400
30,ERIE,141.9,35,14021.0,360950.6,8.9,400.6,SP400
31,BWXT,140.1,188,18894.0,379844.6,1.7,100.5,SP400
32,WMS,139.8,74,12654.0,392498.6,4.3,171.0,SP400
33,CSL,139.5,41,16359.0,408857.6,7.8,399.0,SP400
34,WEX,137.9,78,18688.8,427546.4,4.1,239.6,SP400
35,VNT,137.1,355,15300.5,442846.9,0.9,43.1,SP400
36,ESAB,136.1,152,17282.4,460129.3,2.1,113.7,SP400
37,TOL,134.1,94,11759.4,471888.7,3.4,125.1,SP400
38,MASI,129.2,66,9405.0,481293.7,4.8,142.5,SP400
39,ONTO,128.4,45,8487.0,489780.7,7.0,188.6,SP400
40,CROX,128.2,80,10728.0,500508.7,4.0,134.1,SP400
41,PR,122.7,800,14320.0,514828.7,0.4,17.9,SP400
42,MTZ,120.0,114,10647.6,525476.3,2.8,93.4,SP400
43,BLD,119.9,28,12513.2,537989.5,11.3,446.9,SP400
44,PPC,119.2,533,18708.3,556697.8,0.6,35.1,SP400
45,H,118.3,123,19335.6,576033.4,2.6,157.2,SP400
46,KMPR,109.2,213,12396.6,588430.0,1.5,58.2,SP400
47,LANC,107.2,91,18582.2,607012.2,3.5,204.2,SP400
48,PBF,107.1,152,9424.0,616436.2,2.1,62.0,SP400
49,BDC,104.5,160,14240.0,630676.2,2.0,89.0,SP400
50,LECO,103.3,72,17856.0,648532.2,4.4,248.0,SP400
