Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MPC,152.6,43,9421.3,9421.3,4.6,219.1,XOP
2,VLO,132.0,45,8253.0,17674.3,4.4,183.4,XOP
3,PR,122.7,500,8950.0,26624.3,0.4,17.9,XOP
4,FANG,110.9,68,13892.4,40516.7,2.9,204.3,XOP
5,PBF,107.1,95,5890.0,46406.7,2.1,62.0,XOP
6,SM,106.5,181,9556.8,55963.5,1.1,52.8,XOP
7,PSX,106.0,55,9394.0,65357.5,3.6,170.8,XOP
8,TRGP,97.9,117,13572.0,78929.5,1.7,116.0,XLE
9,WKC,76.2,333,8757.9,87687.4,0.6,26.3,XOP
10,AR,61.9,285,8350.5,96037.9,0.7,29.3,XOP
11,OVV,54.6,222,12276.6,108314.5,0.9,55.3,XOP
12,MTDR,51.8,133,9310.0,117624.5,1.5,70.0,XOP
13,OKE,45.9,200,15940.0,133564.5,1.0,79.7,XLE
14,VTLE,43.4,142,8065.6,141630.1,1.4,56.8,XOP
15,EGY,40.8,666,4861.8,146491.9,0.3,7.3,XOP
16,MGY,38.1,400,10800.0,157291.9,0.5,27.0,XOP
17,CVI,38.1,166,6241.6,163533.5,1.2,37.6,XOP
18,GPOR,35.4,48,7680.0,171213.5,4.1,160.0,XOP
19,SWN,32.4,2000,15000.0,186213.5,0.1,7.5,XOP
20,XOM,30.9,117,14203.8,200417.3,1.7,121.4,XOP
21,PXD,28.8,55,15004.0,215421.3,3.6,272.8,XOP
22,DINO,26.0,125,7962.5,223383.8,1.6,63.7,XOP
23,CNX,19.6,400,9640.0,233023.8,0.5,24.1,XOP
24,PARR,18.8,133,5253.5,238277.3,1.5,39.5,XOP
25,OXY,17.6,181,12525.2,250802.5,1.1,69.2,XOP
26,DK,16.1,200,6680.0,257482.5,1.0,33.4,XOP
27,CVX,16.1,95,15352.0,272834.5,2.1,161.6,XOP
28,HES,13.5,83,13064.2,285898.7,2.4,157.4,XOP
29,BRY,12.8,1000,8700.0,294598.7,0.2,8.7,XOP
30,STR,9.3,400,10240.0,304838.7,0.5,25.6,XOP
31,SBOW,8.7,200,6760.0,311598.7,1.0,33.8,XOP
32,MRO,8.6,400,11880.0,323478.7,0.5,29.7,XOP
33,RRC,8.5,285,9975.0,333453.7,0.7,35.0,XOP
34,CTRA,8.3,400,11320.0,344773.7,0.5,28.3,XOP
35,DVN,6.9,250,13325.0,358098.7,0.8,53.3,XOP
36,WMB,5.8,400,15680.0,373778.7,0.5,39.2,XLE
37,COP,5.8,100,13350.0,387128.7,2.0,133.5,XOP
38,CHRD,4.2,62,11451.4,398580.1,3.2,184.7,XOP
39,HAL,3.2,250,10300.0,408880.1,0.8,41.2,XLE
40,CIVI,2.5,125,9475.0,418355.1,1.6,75.8,XOP
41,CRC,1.7,117,6411.6,424766.7,1.7,54.8,XOP
42,TPL,1.1,13,7750.6,432517.3,15.2,596.2,XOP
43,MUR,0.7,222,10878.0,443395.3,0.9,49.0,XOP
44,VTS,0.7,400,9400.0,452795.3,0.5,23.5,XOP
45,NOG,0.5,250,10375.0,463170.3,0.8,41.5,XOP
46,SLB,0.5,200,11000.0,474170.3,1.0,55.0,XLE
47,EOG,0.3,100,13590.0,487760.3,2.0,135.9,XOP
48,KMI,0.3,666,12321.0,500081.3,0.3,18.5,XLE
49,TALO,-0.3,500,7150.0,507231.3,0.4,14.3,XOP
50,BKR,-0.9,333,11421.9,518653.2,0.6,34.3,XLE
