Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,AVPT,130.0,500,5750.0,5750.0,0.4,11.5,WCLD
2,CWAN,115.6,333,7925.4,13675.4,0.6,23.8,WCLD
3,SMAR,93.8,125,6537.5,20212.9,1.6,52.3,WCLD
4,QTWO,65.5,111,7892.1,28105.0,1.8,71.1,WCLD
5,ADBE,49.8,16,9014.4,37119.4,12.2,563.4,WCLD
6,MNDY,44.3,20,4822.0,41941.4,9.6,241.1,WCLD
7,NOW,42.7,10,8250.0,50191.4,18.2,825.0,WCLD
8,SQSP,20.4,666,30169.8,80361.2,0.3,45.3,WCLD
9,BOX,19.9,285,9234.0,89595.2,0.7,32.4,WCLD
10,WIX,18.7,37,5775.7,95370.9,5.4,156.1,WCLD
11,OLO,17.1,1000,4900.0,100270.9,0.2,4.9,WCLD
12,S,14.6,200,4400.0,104670.9,1.0,22.0,WCLD
13,SHOP,5.8,95,6365.0,111035.9,2.1,67.0,WCLD
14,PYPL,2.8,100,6890.0,117925.9,2.0,68.9,WCLD
15,IOT,2.5,117,5148.0,123073.9,1.7,44.0,WCLD
16,DBX,0.4,333,7692.3,130766.2,0.6,23.1,WCLD
17,WDAY,0.0,29,7383.4,138149.6,6.8,254.6,WCLD
18,ZM,0.0,105,7056.0,145205.6,1.9,67.2,WCLD
19,PCTY,-0.0,43,6609.1,151814.7,4.6,153.7,WCLD
20,VEEV,-0.0,37,7988.3,159803.0,5.3,215.9,WCLD
21,DOCU,-0.1,133,7873.6,167676.6,1.5,59.2,WCLD
22,YEXT,-0.4,666,4129.2,171805.8,0.3,6.2,WCLD
23,DOCN,-0.7,125,4550.0,176355.8,1.6,36.4,WCLD
24,GTLB,-4.4,90,4779.0,181134.8,2.2,53.1,WCLD
25,BILL,-7.6,86,4738.6,185873.4,2.3,55.1,WCLD
26,MDB,-21.1,17,4792.3,190665.7,11.4,281.9,WCLD
