Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,PLTR,908.2,59,4867.5,4867.5,4.0,82.5,IGV
2,MSTR,673.9,8,2678.4,7545.9,27.1,334.8,IGV
3,BILL,445.7,66,6388.8,13934.7,3.6,96.8,IGV
4,DOCU,242.1,72,6962.4,20897.1,3.3,96.7,IGV
5,HUBS,179.9,10,7795.0,28692.1,23.4,779.5,IGV
6,FIVN,179.0,141,5781.0,34473.1,1.7,41.0,IGV
7,CFLT,150.7,171,5078.7,39551.8,1.4,29.7,IGV
8,ESTC,144.1,61,6868.6,46420.4,3.9,112.6,IGV
9,PCOR,116.5,95,7562.0,53982.4,2.5,79.6,IGV
10,DBX,98.9,399,12847.8,66830.2,0.6,32.2,IGV
11,GTLB,58.1,74,5387.2,72217.4,3.2,72.8,IGV
12,ZM,53.9,104,9037.6,81255.0,2.3,86.9,IGV
13,ALTR,51.2,599,66069.7,147324.7,0.4,110.3,IGV
14,DSGX,34.6,99,11464.2,158788.9,2.4,115.8,IGV
15,AZPN,28.9,82,21607.0,180395.9,2.9,263.5,IGV
16,DLB,18.3,119,9960.3,190356.2,2.0,83.7,IGV
17,QLYS,16.0,63,8782.2,199138.4,3.8,139.4,IGV
18,PATH,11.4,342,4856.4,203994.8,0.7,14.2,IGV
19,U,4.8,159,3529.8,207524.6,1.5,22.2,IGV
20,SNAP,3.1,399,4508.7,212033.3,0.6,11.3,IGV
21,NTNX,1.9,114,7843.2,219876.5,2.1,68.8,IGV
22,DT,0.3,159,9190.2,229066.7,1.5,57.8,IGV
23,TENB,0.1,171,7370.1,236436.8,1.4,43.1,IGV
24,GWRE,-0.0,42,8874.6,245311.4,5.6,211.3,IGV
25,IOT,-0.6,133,6849.5,252160.9,1.8,51.5,IGV
