Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,RUN,444.8,230,4715.0,4715.0,1.3,20.5,SP400
2,HALO,238.1,166,10590.8,15305.8,1.8,63.8,SP400
3,COKE,227.8,9,12081.6,27387.4,31.2,1342.4,SP400
4,CVLT,206.5,71,11033.4,38420.8,4.2,155.4,SP400
5,BURL,195.2,35,9387.0,47807.8,8.5,268.2,SP400
6,UTHR,164.7,30,10905.0,58712.8,9.9,363.5,SP400
7,CRUS,163.5,56,8159.2,66872.0,5.3,145.7,SP400
8,SFM,158.1,115,11971.5,78843.5,2.6,104.1,SP400
9,SHC,149.3,500,7700.0,86543.5,0.6,15.4,SP400
10,JLL,142.7,40,10208.0,96751.5,7.5,255.2,SP400
11,JEF,129.4,230,13800.0,110551.5,1.3,60.0,SP400
12,PLNT,124.2,142,11530.4,122081.9,2.1,81.2,SP400
13,NEOG,117.6,428,7361.6,129443.5,0.7,17.2,SP400
14,THC,115.7,76,12600.8,142044.3,3.9,165.8,SP400
15,VNO,113.9,230,7912.0,149956.3,1.3,34.4,SP400
16,EVR,112.4,50,12285.0,162241.3,5.9,245.7,SP400
17,OHI,111.6,428,16906.0,179147.3,0.7,39.5,SP400
18,ADC,98.4,272,19856.0,199003.3,1.1,73.0,SP400
19,IRT,92.6,750,15600.0,214603.3,0.4,20.8,SP400
20,NSA,92.4,272,12702.4,227305.7,1.1,46.7,SP400
21,FLR,92.3,214,10721.4,238027.1,1.4,50.1,SP400
22,MUSA,89.0,30,15588.0,253615.1,9.9,519.6,SP400
23,GDDY,89.0,93,15568.2,269183.3,3.2,167.4,SP400
24,COLB,86.6,428,10785.6,279968.9,0.7,25.2,SP400
25,HRB,86.3,150,9495.0,289463.9,2.0,63.3,SP400
26,OLLI,83.3,85,7616.0,297079.9,3.5,89.6,SP400
27,CDP,83.1,600,17880.0,314959.9,0.5,29.8,SP400
28,LII,80.6,18,10623.6,325583.5,15.8,590.2,SP400
29,CALX,79.4,272,10118.4,335701.9,1.1,37.2,SP400
30,SRCL,78.5,1000,59300.0,395001.9,0.3,59.3,SP400
31,PPC,77.9,250,11650.0,406651.9,1.2,46.6,SP400
32,COHR,77.3,85,6621.5,413273.4,3.5,77.9,SP400
33,CUBE,76.8,300,15540.0,428813.4,1.0,51.8,SP400
34,BRX,72.8,600,16440.0,445253.4,0.5,27.4,SP400
35,KRG,72.2,750,19575.0,464828.4,0.4,26.1,SP400
36,MTG,69.8,600,15240.0,480068.4,0.5,25.4,SP400
37,EXLS,69.4,428,15622.0,495690.4,0.7,36.5,SP400
38,DTM,69.4,214,16820.4,512510.8,1.4,78.6,SP400
39,UMBF,69.3,111,11499.6,524010.4,2.7,103.6,SP400
40,PRI,68.0,69,18160.8,542171.2,4.3,263.2,SP400
41,CNO,67.8,428,14937.2,557108.4,0.7,34.9,SP400
42,GMED,67.8,136,9887.2,566995.6,2.2,72.7,SP400
43,MANH,66.9,51,13484.4,580480.0,5.8,264.4,SP400
44,KBH,65.7,107,8955.9,589435.9,2.8,83.7,SP400
45,FR,64.9,300,17010.0,606445.9,1.0,56.7,SP400
46,SBRA,64.8,750,12750.0,619195.9,0.4,17.0,SP400
47,NYT,64.4,272,14932.8,634128.7,1.1,54.9,SP400
48,HR,64.0,750,13350.0,647478.7,0.4,17.8,SP400
49,EGP,61.3,96,17894.4,665373.1,3.1,186.4,SP400
50,VMI,60.6,53,15147.4,680520.5,5.6,285.8,SP400
