Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,RUN,321.6,257,4985.8,4985.8,1.4,19.4,SP400
2,CRUS,235.8,61,8625.4,13611.2,5.9,141.4,SP400
3,HALO,231.1,189,11226.6,24837.8,1.9,59.4,SP400
4,COKE,225.6,9,11349.0,36186.8,39.2,1261.0,SP400
5,BURL,199.0,41,10836.3,47023.1,8.6,264.3,SP400
6,CVLT,198.9,55,8266.5,55289.6,6.5,150.3,SP400
7,UTHR,189.8,35,11235.0,66524.6,10.1,321.0,SP400
8,SFM,171.1,92,9080.4,75605.0,3.9,98.7,SP400
9,NEOG,170.7,450,7245.0,82850.0,0.8,16.1,SP400
10,THC,153.9,67,10498.9,93348.9,5.3,156.7,SP400
11,JLL,138.3,40,9852.0,103200.9,8.8,246.3,SP400
12,OLLI,137.3,105,10069.5,113270.4,3.4,95.9,SP400
13,GMED,130.9,144,10065.6,123336.0,2.5,69.9,SP400
14,JEF,120.5,211,12132.5,135468.5,1.7,57.5,SP400
15,PLNT,118.3,156,12370.8,147839.3,2.3,79.3,SP400
16,VMI,103.9,45,12667.5,160506.8,7.9,281.5,SP400
17,CALX,99.5,211,7891.4,168398.2,1.7,37.4,SP400
18,EVR,96.9,43,10345.8,178744.0,8.3,240.6,SP400
19,HR,96.0,720,12456.0,191200.0,0.5,17.3,SP400
20,SHC,92.4,600,9000.0,200200.0,0.6,15.0,SP400
21,OHI,92.1,450,16830.0,217030.0,0.8,37.4,SP400
22,IRT,91.6,720,14040.0,231070.0,0.5,19.5,SP400
23,MUSA,91.0,26,13299.0,244369.0,13.4,511.5,SP400
24,ADC,89.0,276,19706.4,264075.4,1.3,71.4,SP400
25,NYT,88.6,257,13955.1,278030.5,1.4,54.3,SP400
26,LII,87.4,17,9678.1,287708.6,20.4,569.3,SP400
27,COHR,82.3,81,6204.6,293913.2,4.4,76.6,SP400
28,SRCL,82.0,1200,70560.0,364473.2,0.3,58.8,SP400
29,GDDY,81.8,94,15378.4,379851.6,3.8,163.6,SP400
30,NSA,80.1,300,12870.0,392721.6,1.2,42.9,SP400
31,FLR,78.8,200,9680.0,402401.6,1.8,48.4,SP400
32,COLB,77.6,360,8640.0,411041.6,1.0,24.0,SP400
33,CDP,77.1,600,17160.0,428201.6,0.6,28.6,SP400
34,CASY,74.9,36,13690.8,441892.4,9.9,380.3,SP400
35,EXPO,70.8,124,13057.2,454949.6,2.9,105.3,SP400
36,HRB,69.6,189,12171.6,467121.2,1.9,64.4,SP400
37,NARI,69.4,150,7380.0,474501.2,2.4,49.2,SP400
38,SBRA,68.4,900,14580.0,489081.2,0.4,16.2,SP400
39,KBH,67.6,109,8643.7,497724.9,3.3,79.3,SP400
40,DTM,67.2,200,15080.0,512804.9,1.8,75.4,SP400
41,MTG,63.1,600,14400.0,527204.9,0.6,24.0,SP400
42,CLH,60.2,54,12776.4,539981.3,6.6,236.6,SP400
43,KRG,60.1,600,15000.0,554981.3,0.6,25.0,SP400
44,CNO,57.1,360,11916.0,566897.3,1.0,33.1,SP400
45,OLED,54.9,33,6250.2,573147.5,10.9,189.4,SP400
46,CACI,54.8,37,17216.1,590363.6,9.6,465.3,SP400
47,BRX,52.6,600,15540.0,605903.6,0.6,25.9,SP400
48,PRI,51.0,70,18039.0,623942.6,5.1,257.7,SP400
49,PPC,48.7,240,10392.0,634334.6,1.5,43.3,SP400
50,CUBE,46.9,300,14580.0,648914.6,1.2,48.6,SP400
