Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,SNAP,219.7,433,7101.2,7101.2,0.6,16.4,IGV
2,APP,102.8,68,5902.4,13003.6,3.8,86.8,IGV
3,ALTR,42.0,89,8802.1,21805.7,2.9,98.9,IGV
4,GWRE,33.7,86,11988.4,33794.1,3.0,139.4,IGV
5,DSGX,10.2,162,16021.8,49815.9,1.6,98.9,IGV
6,SPSC,2.3,60,11424.0,61239.9,4.3,190.4,IGV
7,SMAR,2.3,185,8103.0,69342.9,1.4,43.8,IGV
8,APPF,1.0,38,9598.8,78941.7,6.8,252.6,IGV
9,ESTC,0.8,74,8502.6,87444.3,3.5,114.9,IGV
10,PLTR,-0.1,260,7072.0,94516.3,1.0,27.2,IGV
11,IOT,-1.6,162,5945.4,100461.7,1.6,36.7,IGV
12,MANH,-5.3,46,11398.8,111860.5,5.6,247.8,IGV
13,VRNS,-14.7,200,9660.0,121520.5,1.3,48.3,IGV
