Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,CNX,143.3,200,7080.0,7080.0,1.0,35.4,XOP
2,TRGP,104.3,55,8954.0,16034.0,3.6,162.8,XLE
3,TPL,94.0,6,6351.0,22385.0,31.3,1058.5,XOP
4,WKC,76.2,285,8835.0,31220.0,0.7,31.0,XOP
5,OKE,70.4,105,10206.0,41426.0,1.9,97.2,XLE
6,KMI,52.7,400,10000.0,51426.0,0.5,25.0,XLE
7,WMB,48.6,222,11632.8,63058.8,0.9,52.4,XLE
8,CLNE,24.9,2000,5800.0,68858.8,0.1,2.9,XOP
9,XOM,7.2,80,9600.0,78458.8,2.5,120.0,XOP
10,BKR,6.9,222,8080.8,86539.6,0.9,36.4,XLE
11,CRK,1.3,500,5700.0,92239.6,0.4,11.4,XOP
12,VTS,1.1,333,8325.0,100564.6,0.6,25.0,XOP
13,CRC,0.5,117,6002.1,106566.7,1.7,51.3,XOP
14,EOG,0.4,68,8608.8,115175.5,2.9,126.6,XOP
15,MGY,0.0,250,6525.0,121700.5,0.8,26.1,XOP
16,CRGY,0.0,400,4960.0,126660.5,0.5,12.4,XOP
17,EQT,-0.8,222,8103.0,134763.5,0.9,36.5,XOP
18,CVX,-7.0,71,10706.8,145470.3,2.8,150.8,XOP
19,STR,-8.3,285,6469.5,151939.8,0.7,22.7,XOP
