Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,PSX,109.0,58,9222.0,9222.0,3.4,159.0,XOP
2,MPC,78.6,43,8333.4,17555.4,4.6,193.8,XOP
3,VLO,66.7,44,7202.8,24758.2,4.5,163.7,XOP
4,WKC,65.1,285,7096.5,31854.7,0.7,24.9,XOP
5,PR,38.5,500,8250.0,40104.7,0.4,16.5,XOP
6,OKE,35.2,166,12782.0,52886.7,1.2,77.0,XLE
7,FANG,31.9,58,11014.2,63900.9,3.4,189.9,XOP
8,TRGP,29.5,111,11766.0,75666.9,1.8,106.0,XLE
9,PBF,28.3,86,4876.2,80543.1,2.3,56.7,XOP
10,PARR,22.6,133,4947.6,85490.7,1.5,37.2,XOP
11,SM,22.4,166,7768.8,93259.5,1.2,46.8,XOP
12,CVX,10.6,76,11825.6,105085.1,2.6,155.6,XOP
13,CVI,10.0,153,5492.7,110577.8,1.3,35.9,XOP
14,DINO,9.5,105,6226.5,116804.3,1.9,59.3,XOP
15,GPOR,6.4,46,7015.0,123819.3,4.3,152.5,XOP
16,MTDR,6.1,125,8325.0,132144.3,1.6,66.6,XOP
17,OVV,3.6,166,8383.0,140527.3,1.2,50.5,XOP
18,VTLE,2.2,133,6756.4,147283.7,1.5,50.8,XOP
19,SWN,2.0,1000,7100.0,154383.7,0.2,7.1,XOP
20,HES,2.0,66,9959.4,164343.1,3.0,150.9,XOP
21,MGY,1.6,400,9560.0,173903.1,0.5,23.9,XOP
22,XOM,1.1,117,13022.1,186925.2,1.7,111.3,XOP
23,CRC,0.3,100,5400.0,192325.2,2.0,54.0,XOP
24,PXD,0.3,54,13500.0,205825.2,3.7,250.0,XOP
25,KMI,0.2,1000,17600.0,223425.2,0.2,17.6,XLE
26,AR,0.0,222,5727.6,229152.8,0.9,25.8,XOP
27,CPE,-0.0,222,7459.2,236612.0,0.9,33.6,XOP
28,STR,-0.0,333,7958.7,244570.7,0.6,23.9,XOP
29,DK,0.0,181,5339.5,249910.2,1.1,29.5,XOP
30,WMB,-0.0,333,12321.0,262231.2,0.6,37.0,XLE
31,OXY,0.0,200,12540.0,274771.2,1.0,62.7,XOP
32,EGY,0.0,1000,5500.0,280271.2,0.2,5.5,XOP
33,CNX,-0.0,400,8560.0,288831.2,0.5,21.4,XOP
34,CHRD,-0.1,52,8626.8,297458.0,3.8,165.9,XOP
35,BRY,-0.2,1000,7300.0,304758.0,0.2,7.3,XOP
36,DVN,-0.3,250,11900.0,316658.0,0.8,47.6,XOP
37,COP,-0.5,90,10800.0,327458.0,2.2,120.0,XOP
38,VTS,-0.8,333,7792.2,335250.2,0.6,23.4,XOP
39,CTRA,-0.8,333,8791.2,344041.4,0.6,26.4,XOP
40,RRC,-1.4,200,6400.0,350441.4,1.0,32.0,XOP
41,MRO,-2.0,400,10600.0,361041.4,0.5,26.5,XOP
42,CIVI,-2.5,105,7497.0,368538.4,1.9,71.4,XOP
43,NOG,-3.6,250,9475.0,378013.4,0.8,37.9,XOP
44,HAL,-4.5,250,9425.0,387438.4,0.8,37.7,XLE
45,SBOW,-4.8,153,5186.7,392625.1,1.3,33.9,XOP
46,SLB,-5.9,222,11743.8,404368.9,0.9,52.9,XLE
47,EOG,-7.4,83,10192.4,414561.3,2.4,122.8,XOP
48,TPL,-8.1,4,6666.0,421227.3,42.8,1666.5,XOP
49,MUR,-8.5,200,8680.0,429907.3,1.0,43.4,XOP
50,BKR,-23.4,333,10755.9,440663.2,0.6,32.3,XLE
