Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,PLTR,891.9,60,3858.0,3858.0,3.3,64.3,IGV
2,MSTR,848.9,4,1687.6,5545.6,43.6,421.9,IGV
3,DOCU,218.6,86,7138.0,12683.6,2.3,83.0,IGV
4,GWRE,180.2,62,12573.6,25257.2,3.2,202.8,IGV
5,IOT,171.3,111,6249.3,31506.5,1.8,56.3,IGV
6,NTNX,168.7,100,7320.0,38826.5,2.0,73.2,IGV
7,BILL,153.1,57,5215.5,44042.0,3.5,91.5,IGV
8,ZM,142.8,90,7731.0,51773.0,2.2,85.9,IGV
9,HUBS,124.7,8,5940.8,57713.8,23.5,742.6,IGV
10,U,109.0,153,3595.5,61309.3,1.3,23.5,IGV
11,AZPN,89.8,46,11541.4,72850.7,4.3,250.9,IGV
12,SMAR,75.5,1000,56200.0,129050.7,0.2,56.2,IGV
13,ALTR,67.6,125,13150.0,142200.7,1.6,105.2,IGV
14,DT,63.8,125,6937.5,149138.2,1.6,55.5,IGV
15,S,63.4,222,6327.0,155465.2,0.9,28.5,IGV
16,DBX,60.4,222,6216.0,161681.2,0.9,28.0,IGV
17,GTLB,58.9,80,5328.0,167009.2,2.5,66.6,IGV
18,DSGX,39.7,86,9984.6,176993.8,2.3,116.1,IGV
19,MANH,34.5,29,8131.6,185125.4,6.8,280.4,IGV
20,CFLT,20.0,133,4189.5,189314.9,1.5,31.5,IGV
21,PATH,16.4,400,5680.0,194994.9,0.5,14.2,IGV
22,PCOR,9.0,68,5215.6,200210.5,2.9,76.7,IGV
23,MARA,1.0,83,2158.0,202368.5,2.4,26.0,IGV
24,SNAP,0.3,333,3796.2,206164.7,0.6,11.4,IGV
25,QLYS,0.2,34,5215.6,211380.3,5.8,153.4,IGV
26,DLB,0.0,105,8463.0,219843.3,1.9,80.6,IGV
27,ASAN,-0.4,333,5228.1,225071.4,0.6,15.7,IGV
28,TENB,-0.6,153,6487.2,231558.6,1.3,42.4,IGV
29,APPF,-0.6,36,8726.4,240285.0,5.5,242.4,IGV
30,FIVN,-4.8,111,4473.3,244758.3,1.8,40.3,IGV
31,ESTC,-17.6,54,5832.0,250590.3,3.7,108.0,IGV
