Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,VST,270.3,50,4470.0,4470.0,5.1,89.4,SP400
2,THC,219.2,70,9226.0,13696.0,3.7,131.8,SP400
3,KEX,187.1,113,13571.3,27267.3,2.3,120.1,SP400
4,CRUS,172.2,86,11119.8,38387.1,3.0,129.3,SP400
5,AA,165.2,185,7844.0,46231.1,1.4,42.4,SP400
6,LNTH,151.4,96,7574.4,53805.5,2.7,78.9,SP400
7,TKO,142.5,113,12520.4,66325.9,2.3,110.8,SP400
8,SFM,136.7,136,11220.0,77545.9,1.9,82.5,SP400
9,UTHR,125.8,35,11011.0,88556.9,7.3,314.6,SP400
10,COKE,107.1,8,8620.0,97176.9,29.2,1077.5,SP400
11,VMI,106.4,45,11907.0,109083.9,5.7,264.6,SP400
12,AR,105.2,288,9388.8,118472.7,0.9,32.6,SP400
13,MTZ,100.6,78,7846.8,126319.5,3.3,100.6,SP400
14,WWD,100.5,65,11186.5,137506.0,4.0,172.1,SP400
15,GMED,100.2,185,12728.0,150234.0,1.4,68.8,SP400
16,HR,98.4,650,11115.0,161349.0,0.4,17.1,SP400
17,GDDY,93.9,96,13824.0,175173.0,2.7,144.0,SP400
18,BCO,89.5,113,11559.9,186732.9,2.3,102.3,SP400
19,PSTG,88.0,108,6987.6,193720.5,2.4,64.7,SP400
20,CVLT,85.5,92,11408.0,205128.5,2.8,124.0,SP400
21,ONTO,80.9,30,6852.0,211980.5,8.4,228.4,SP400
22,DTM,79.6,236,16449.2,228429.7,1.1,69.7,SP400
23,HALO,78.3,152,7843.2,236272.9,1.7,51.6,SP400
24,EXPO,77.2,144,13564.8,249837.7,1.8,94.2,SP400
25,CLH,73.3,54,12020.4,261858.1,4.8,222.6,SP400
26,NYT,68.9,325,16997.5,278855.6,0.8,52.3,SP400
27,ETRN,68.4,650,8255.0,287110.6,0.4,12.7,SP400
28,CHDN,68.3,96,13401.6,300512.2,2.7,139.6,SP400
29,CASY,66.8,26,9604.4,310116.6,9.7,369.4,SP400
30,EQH,65.2,371,14988.4,325105.0,0.7,40.4,SP400
31,BJ,63.9,136,11968.0,337073.0,1.9,88.0,SP400
32,WSO,62.0,21,10107.3,347180.3,11.9,481.3,SP400
33,CACI,59.9,37,15651.0,362831.3,6.9,423.0,SP400
34,SKX,59.5,152,10062.4,372893.7,1.7,66.2,SP400
35,OLED,56.5,49,10696.7,383590.4,5.3,218.3,SP400
36,KD,56.1,371,9608.9,393199.3,0.7,25.9,SP400
37,WING,55.7,20,8374.0,401573.3,12.7,418.7,SP400
38,IRT,54.3,650,12090.0,413663.3,0.4,18.6,SP400
39,TXRH,51.9,74,12631.8,426295.1,3.5,170.7,SP400
40,TTEK,51.2,52,10514.4,436809.5,5.0,202.2,SP400
41,IBKR,50.8,100,12400.0,449209.5,2.6,124.0,SP400
42,MTSI,48.9,86,9812.6,459022.1,3.0,114.1,SP400
43,CROX,48.6,52,7462.0,466484.1,5.0,143.5,SP400
44,CW,46.9,54,14644.8,481128.9,4.8,271.2,SP400
45,EME,46.9,23,8337.5,489466.4,11.1,362.5,SP400
46,CGNX,46.0,236,11162.8,500629.2,1.1,47.3,SP400
47,OLLI,46.0,86,8479.6,509108.8,3.0,98.6,SP400
48,ENS,45.3,96,9648.0,518756.8,2.7,100.5,SP400
49,RGA,42.9,72,14666.4,533423.2,3.6,203.7,SP400
50,CSL,41.3,27,10989.0,544412.2,9.6,407.0,SP400
