Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,CRWD,509.1,19,5977.4,5977.4,14.4,314.6,QQQ
2,AMD,480.3,34,6888.4,12865.8,8.1,202.6,SPX
3,NVDA,404.4,8,6582.4,19448.2,32.8,822.8,SPX
4,TPR,368.7,215,10148.0,29596.2,1.3,47.2,SPX
5,BLDR,357.9,49,9800.0,39396.2,5.7,200.0,SPX
6,CTLT,348.0,215,12298.0,51694.2,1.3,57.2,SPX
7,URI,330.7,18,12610.8,64305.0,15.0,700.6,SPX
8,UBER,325.0,100,8100.0,72405.0,2.8,81.0,SPX
9,BBWI,293.1,186,8500.2,80905.2,1.5,45.7,SPX
10,META,264.1,17,8539.1,89444.3,16.0,502.3,SPX
11,RL,252.7,53,9805.0,99249.3,5.2,185.0,SPX
12,ASML,252.2,12,11890.8,111140.1,23.2,990.9,QQQ
13,MPWR,239.8,9,6694.2,117834.3,31.0,743.8,SPX
14,AVGO,238.3,7,9794.4,127628.7,38.0,1399.2,SPX
15,JNPR,235.3,1400,52360.0,179988.7,0.2,37.4,SPX
16,LRCX,221.4,9,8833.5,188822.2,28.1,981.5,SPX
17,ZS,218.0,21,4603.2,193425.4,12.9,219.2,QQQ
18,VTRS,218.0,700,8820.0,202245.4,0.4,12.6,SPX
19,AXP,217.9,90,19773.0,222018.4,3.1,219.7,SPX
20,CRM,211.5,38,12042.2,234060.6,7.3,316.9,SPX
21,ISRG,209.6,40,15916.0,249976.6,7.0,397.9,SPX
22,LUV,199.4,311,10574.0,260550.6,0.9,34.0,SPX
23,MHK,196.9,82,9954.8,270505.4,3.4,121.4,SPX
24,EFX,195.7,40,10840.0,281345.4,6.9,271.0,SPX
25,DASH,192.1,54,6879.6,288225.0,5.1,127.4,QQQ
26,MRVL,191.0,93,7216.8,295441.8,3.0,77.6,QQQ
27,GM,190.8,311,12751.0,308192.8,0.9,41.0,SPX
28,SYF,181.7,311,12751.0,320943.8,0.9,41.0,SPX
29,DVA,181.0,77,9771.3,330715.1,3.6,126.9,SPX
30,ANET,177.5,28,8055.6,338770.7,9.7,287.7,SPX
31,IR,174.6,164,15022.4,353793.1,1.7,91.6,SPX
32,FICO,172.7,9,11656.8,365449.9,28.4,1295.2,SPX
33,HCA,170.5,53,16536.0,381985.9,5.2,312.0,SPX
34,WDAY,167.0,38,11092.2,393078.1,7.3,291.9,QQQ
35,CAT,166.2,39,13131.3,406209.4,7.1,336.7,SPX
36,COF,166.2,93,12722.4,418931.8,3.0,136.8,SPX
37,ULTA,164.0,25,13750.0,432681.8,10.9,550.0,SPX
38,C,161.0,254,14122.4,446804.2,1.1,55.6,SPX
39,MAS,160.8,175,13580.0,460384.2,1.6,77.6,SPX
40,WDC,157.8,175,11252.5,471636.7,1.6,64.3,SPX
41,NFLX,156.8,20,12386.0,484022.7,13.4,619.3,SPX
42,TRV,155.5,90,19692.0,503714.7,3.1,218.8,SPX
43,DFS,155.4,93,11234.4,514949.1,3.0,120.8,SPX
44,TT,147.4,57,16302.0,531251.1,4.9,286.0,SPX
45,LEN,146.2,75,12112.5,543363.6,3.7,161.5,SPX
46,COST,145.1,29,21732.6,565096.2,9.6,749.4,SPX
47,PHM,142.6,107,11898.4,576994.6,2.6,111.2,SPX
48,FITB,141.5,350,12040.0,589034.6,0.8,34.4,SPX
49,PH,140.7,33,17747.4,606782.0,8.4,537.8,SPX
50,GE,139.6,121,19190.6,625972.6,2.3,158.6,SPX
