Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MSTR,4465.6,8,2640.0,2640.0,33.8,330.0,IGV
2,PLTR,1801.1,63,4983.3,7623.3,4.7,79.1,IGV
3,BILL,572.6,83,7212.7,14836.0,3.6,86.9,IGV
4,DOCU,423.8,68,6324.0,21160.0,4.4,93.0,IGV
5,CFLT,330.2,230,6647.0,27807.0,1.3,28.9,IGV
6,HUBS,273.2,14,9914.8,37721.8,21.4,708.2,IGV
7,PCOR,182.5,111,8480.4,46202.2,2.7,76.4,IGV
8,FIVN,168.8,187,7741.8,53944.0,1.6,41.4,IGV
9,ZM,112.4,125,10475.0,64419.0,2.4,83.8,IGV
10,DBX,92.8,375,11437.5,75856.5,0.8,30.5,IGV
11,U,86.1,187,4263.6,80120.1,1.6,22.8,IGV
12,ALTR,84.0,333,36297.0,116417.1,0.9,109.0,IGV
13,GTLB,82.3,96,5568.0,121985.1,3.1,58.0,IGV
14,DSGX,74.8,125,14250.0,136235.1,2.4,114.0,IGV
15,SNAP,73.8,500,5500.0,141735.1,0.6,11.0,IGV
16,QLYS,60.8,88,12302.4,154037.5,3.4,139.8,IGV
17,ESTC,47.6,83,8424.5,162462.0,3.6,101.5,IGV
18,AZPN,39.5,96,24105.6,186567.6,3.1,251.1,IGV
19,NTNX,35.9,125,7812.5,194380.1,2.4,62.5,IGV
20,SMAR,25.9,3000,168000.0,362380.1,0.1,56.0,IGV
21,DLB,23.9,200,15700.0,378080.1,1.5,78.5,IGV
22,DT,23.1,214,11705.8,389785.9,1.4,54.7,IGV
23,PATH,21.8,428,5521.2,395307.1,0.7,12.9,IGV
24,APPF,12.0,40,9996.0,405303.1,7.5,249.9,IGV
