Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,EQT,202.7,153,8216.1,8216.1,1.3,53.7,XLE
2,KMI,111.2,333,10089.9,18306.0,0.6,30.3,XLE
3,TRGP,88.1,41,8573.1,26879.1,4.8,209.1,XLE
4,BKR,70.7,200,9100.0,35979.1,1.0,45.5,XLE
5,WMB,61.1,153,9118.8,45097.9,1.3,59.6,XLE
6,CTRA,33.2,285,8265.0,53362.9,0.7,29.0,XLE
7,OKE,19.7,90,9405.0,62767.9,2.2,104.5,XLE
8,HES,1.3,68,9819.2,72587.1,2.9,144.4,XLE
9,CVX,1.1,76,11825.6,84412.7,2.6,155.6,XLE
10,EOG,0.3,80,10544.0,94956.7,2.5,131.8,XLE
11,VLO,-3.0,51,7119.6,102076.3,3.9,139.6,XLE
12,SLB,-5.9,181,7638.2,109714.5,1.1,42.2,XLE
