Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,PSX,115.5,77,11103.4,11103.4,3.1,144.2,XOP
2,WKC,75.0,342,8413.2,19516.6,0.7,24.6,XOP
3,PARR,43.9,171,6156.0,25672.6,1.4,36.0,XOP
4,MPC,41.6,57,9872.4,35545.0,4.2,173.2,XOP
5,VLO,34.5,63,9027.9,44572.9,3.8,143.3,XOP
6,OKE,22.5,184,13818.4,58391.3,1.3,75.1,XLE
7,TRGP,5.9,133,13206.9,71598.2,1.8,99.3,XLE
8,DINO,5.1,141,7867.8,79466.0,1.7,55.8,XOP
9,PBF,4.2,119,5807.2,85273.2,2.0,48.8,XOP
10,CVI,3.8,218,7150.4,92423.6,1.1,32.8,XOP
11,FANG,2.8,54,10000.8,102424.4,4.4,185.2,XOP
12,CVX,2.1,88,13446.4,115870.8,2.7,152.8,XOP
13,GPOR,1.0,58,8236.0,124106.8,4.1,142.0,XOP
14,KMI,0.4,799,13982.5,138089.3,0.3,17.5,XLE
15,PR,0.4,479,7664.0,145753.3,0.5,16.0,XOP
16,HES,-0.0,72,10670.4,156423.7,3.3,148.2,XOP
17,SM,0.0,199,8855.5,165279.2,1.2,44.5,XOP
18,CRC,0.0,133,7182.0,172461.2,1.8,54.0,XOP
19,EGY,-0.3,2399,10555.6,183016.8,0.1,4.4,XOP
20,MTDR,-0.4,141,9080.4,192097.2,1.7,64.4,XOP
21,WMB,-0.6,342,12448.8,204546.0,0.7,36.4,XLE
22,SWN,-0.8,1199,8393.0,212939.0,0.2,7.0,XOP
23,XOM,-1.1,126,13330.8,226269.8,1.9,105.8,XOP
24,MGY,-1.9,479,11017.0,237286.8,0.5,23.0,XOP
25,OVV,-2.1,199,10029.6,247316.4,1.2,50.4,XOP
26,CHRD,-2.4,61,10016.2,257332.6,3.9,164.2,XOP
27,PXD,-2.6,57,13526.1,270858.7,4.2,237.3,XOP
28,VTLE,-2.7,149,7569.2,278427.9,1.6,50.8,XOP
29,OXY,-3.4,218,13385.2,291813.1,1.1,61.4,XOP
30,CNX,-7.7,399,8418.9,300232.0,0.6,21.1,XOP
31,STR,-10.0,399,9216.9,309448.9,0.6,23.1,XOP
32,AR,-12.9,239,6190.1,315639.0,1.0,25.9,XOP
33,BRY,-14.9,1199,8632.8,324271.8,0.2,7.2,XOP
34,VTS,-15.9,342,7866.0,332137.8,0.7,23.0,XOP
35,NOG,-17.9,266,9709.0,341846.8,0.9,36.5,XOP
36,RRC,-20.2,218,6997.8,348844.6,1.1,32.1,XOP
37,CIVI,-24.6,126,8920.8,357765.4,1.9,70.8,XOP
