Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,GWRE,134.8,54,7921.8,7921.8,4.4,146.7,IGV
2,PLTR,84.8,141,4230.0,12151.8,1.7,30.0,IGV
3,SMAR,79.5,159,7377.6,19529.4,1.5,46.4,IGV
4,SPSC,36.0,32,6428.8,25958.2,7.4,200.9,IGV
5,VRNS,16.8,104,5699.2,31657.4,2.3,54.8,IGV
6,ALTR,11.3,68,6072.4,37729.8,3.5,89.3,IGV
7,DSGX,11.0,104,10036.0,47765.8,2.3,96.5,IGV
8,MANH,8.1,24,5947.2,53713.0,9.9,247.8,IGV
9,IOT,0.4,109,4163.8,57876.8,2.2,38.2,IGV
10,S,-0.0,171,3727.8,61604.6,1.4,21.8,IGV
11,DT,-6.2,159,7584.3,69188.9,1.5,47.7,IGV
12,AZPN,-6.8,31,6553.4,75742.3,7.7,211.4,IGV
