Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,NVDA,509.4,7,6141.1,6141.1,39.8,877.3,QQQ
2,CEG,477.1,40,7536.0,13677.1,7.4,188.4,QQQ
3,DELL,408.5,48,6004.8,19681.9,6.2,125.1,SPX
4,GE,350.5,47,7632.8,27314.7,6.3,162.4,SPX
5,NRG,220.7,115,8372.0,35686.7,2.6,72.8,SPX
6,TRGP,191.3,130,15197.0,50883.7,2.3,116.9,SPX
7,META,177.5,15,6649.5,57533.2,19.7,443.3,QQQ
8,MU,173.7,55,6314.0,63847.2,5.4,114.8,QQQ
9,MPC,173.4,56,11110.4,74957.6,5.3,198.4,SPX
10,ETN,172.7,37,11999.1,86956.7,8.1,324.3,SPX
11,DASH,170.0,63,8322.3,95279.0,4.7,132.1,QQQ
12,FANG,165.1,71,14753.8,110032.8,4.2,207.8,QQQ
13,WDC,160.7,88,6283.2,116316.0,3.4,71.4,SPX
14,VLO,148.1,66,10942.8,127258.8,4.5,165.8,SPX
15,PGR,145.9,76,15808.0,143066.8,3.9,208.0,SPX
16,CMG,145.7,4,12748.0,155814.8,61.6,3187.0,SPX
17,AMAT,125.1,47,9559.8,165374.6,6.3,203.4,QQQ
18,DVA,121.9,111,14818.5,180193.1,2.7,133.5,SPX
19,DIS,118.5,130,14651.0,194844.1,2.3,112.7,SPX
20,HUBB,117.6,28,11410.0,206254.1,10.6,407.5,SPX
21,CAT,114.4,29,9958.6,216212.7,10.1,343.4,SPX
22,CMI,109.7,54,15719.4,231932.1,5.5,291.1,SPX
23,KR,106.0,300,16650.0,248582.1,1.0,55.5,SPX
24,GM,101.0,272,12457.6,261039.7,1.1,45.8,SPX
25,MLM,100.5,21,12705.0,273744.7,14.2,605.0,SPX
26,TT,100.3,43,13093.5,286838.2,6.9,304.5,SPX
27,HIG,98.4,157,14962.1,301800.3,1.9,95.3,SPX
28,PWR,97.0,43,11253.1,313053.4,6.9,261.7,SPX
29,ACGL,96.2,166,15089.4,328142.8,1.8,90.9,SPX
30,PCAR,95.3,120,13440.0,341582.8,2.5,112.0,QQQ
31,LLY,94.4,16,11736.0,353318.8,18.0,733.5,SPX
32,AXON,92.5,37,11403.4,364722.2,8.1,308.2,SPX
33,AXP,92.3,63,14842.8,379565.0,4.7,235.6,SPX
34,TDG,91.9,10,12592.0,392157.0,29.8,1259.2,SPX
35,TGT,89.1,96,15811.2,407968.2,3.1,164.7,SPX
36,ASML,88.2,8,7352.0,415320.2,34.3,919.0,QQQ
37,EBAY,86.9,300,15600.0,430920.2,1.0,52.0,SPX
38,IR,85.0,150,14025.0,444945.2,2.0,93.5,SPX
39,PH,84.1,24,13286.4,458231.6,12.3,553.6,SPX
40,HWM,83.9,200,13280.0,471511.6,1.5,66.4,SPX
41,WFC,81.7,250,14975.0,486486.6,1.2,59.9,SPX
42,PSX,81.3,71,10749.4,497236.0,4.2,151.4,SPX
43,NFLX,79.8,15,8418.0,505654.0,18.8,561.2,QQQ
44,FIS,78.0,214,14894.4,520548.4,1.4,69.6,SPX
45,BSX,76.8,230,16836.0,537384.4,1.3,73.2,SPX
46,PXD,76.6,61,16402.9,553787.3,4.9,268.9,SPX
47,EW,76.5,136,11750.4,565537.7,2.2,86.4,SPX
48,WAB,75.6,88,14467.2,580004.9,3.4,164.4,SPX
49,STLD,75.1,69,9246.0,589250.9,4.3,134.0,SPX
50,DPZ,74.5,26,12976.6,602227.5,11.3,499.1,SPX
