Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,EQT,185.7,142,6958.0,6958.0,1.4,49.0,XLE
2,KMI,119.0,400,11280.0,18238.0,0.5,28.2,XLE
3,TRGP,88.4,46,8891.8,27129.8,4.3,193.3,XLE
4,BKR,77.0,200,8660.0,35789.8,1.0,43.3,XLE
5,WMB,76.2,166,9213.0,45002.8,1.2,55.5,XLE
6,OKE,28.0,95,9671.0,54673.8,2.1,101.8,XLE
7,CTRA,18.9,285,7923.0,62596.8,0.7,27.8,XLE
8,CVX,3.0,74,11329.4,73926.2,2.7,153.1,XLE
9,HES,1.8,66,9398.4,83324.6,3.0,142.4,XLE
10,EOG,0.2,80,10512.0,93836.6,2.5,131.4,XLE
