Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,APP,712.3,55,4059.0,4059.0,3.6,73.8,IGV
2,NTNX,115.0,90,5553.0,9612.0,2.2,61.7,IGV
3,PLTR,101.5,222,4995.0,14607.0,0.9,22.5,IGV
4,APPF,72.4,24,5827.2,20434.2,8.1,242.8,IGV
5,HUBS,37.7,7,4417.7,24851.9,27.3,631.1,IGV
6,DSGX,25.2,100,9420.0,34271.9,2.0,94.2,IGV
7,GWRE,1.7,83,9428.8,43700.7,2.4,113.6,IGV
8,IOT,1.5,153,5508.0,49208.7,1.3,36.0,IGV
9,BSY,0.2,117,6318.0,55526.7,1.7,54.0,IGV
10,ALTR,0.1,95,7942.0,63468.7,2.1,83.6,IGV
11,DOCU,-0.2,117,6692.4,70161.1,1.7,57.2,IGV
