Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,AXON,240.7,14,5961.2,5961.2,8.5,425.8,SPX
2,DASH,219.0,33,5138.1,11099.3,3.6,155.7,QQQ
3,UAL,217.1,42,3381.0,14480.3,2.8,80.5,SPX
4,PYPL,183.5,57,4400.4,18880.7,2.1,77.2,QQQ
5,MKTX,181.9,23,6610.2,25490.9,5.2,287.4,SPX
6,K,166.5,399,32159.4,57650.3,0.3,80.6,SPX
7,FTNT,161.5,70,5516.0,63166.3,1.7,78.8,QQQ
8,CBRE,155.0,42,5468.4,68634.7,2.8,130.2,SPX
9,BXP,153.2,57,4514.4,73149.1,2.1,79.2,SPX
10,FICO,141.6,2,3977.8,77126.9,42.5,1988.9,SPX
11,VFC,140.5,99,2079.0,79205.9,1.2,21.0,SPX
12,IRM,138.9,49,5938.8,85144.7,2.4,121.2,SPX
13,FI,132.0,35,7073.5,92218.2,3.4,202.1,SPX
14,FFIV,125.8,24,5572.8,97791.0,4.8,232.2,SPX
15,GL,117.9,44,4576.0,102367.0,2.7,104.0,SPX
16,ETR,116.8,36,5212.8,107579.8,3.3,144.8,SPX
17,SBUX,115.7,63,6230.7,113810.5,1.9,98.9,QQQ
18,CEG,113.1,12,3097.2,116907.7,9.5,258.1,QQQ
19,PNR,111.1,70,6895.0,123802.7,1.7,98.5,SPX
20,DAY,110.7,59,4436.8,128239.5,2.0,75.2,SPX
21,BX,110.4,29,4874.9,133114.4,4.1,168.1,SPX
22,ILMN,110.4,26,3894.8,137009.2,4.5,149.8,QQQ
23,HWM,109.0,59,5900.0,142909.2,2.0,100.0,SPX
24,GILD,107.8,85,7607.5,150516.7,1.4,89.5,QQQ
25,BLDR,105.3,19,3268.0,153784.7,6.0,172.0,SPX
26,IBM,104.6,28,5829.6,159614.3,4.2,208.2,SPX
27,TRGP,104.1,32,5289.6,164903.9,3.7,165.3,SPX
28,WELL,103.4,49,6531.7,171435.6,2.4,133.3,SPX
29,VTR,99.2,92,5906.4,177342.0,1.3,64.2,SPX
30,BMY,98.0,99,5375.7,182717.7,1.2,54.3,SPX
31,BK,97.0,99,7454.7,190172.4,1.2,75.3,SPX
32,TMUS,94.3,29,6475.7,196648.1,4.0,223.3,QQQ
33,ORCL,93.0,37,6290.0,202938.1,3.2,170.0,SPX
34,CHRW,89.8,52,5293.6,208231.7,2.3,101.8,SPX
35,BLK,88.6,6,5910.6,214142.3,17.2,985.1,SPX
36,NOW,88.4,5,4717.0,218859.3,21.3,943.4,SPX
37,COO,86.7,70,7406.0,226265.3,1.7,105.8,SPX
38,APD,86.0,18,5565.6,231830.9,6.4,309.2,SPX
39,PKG,85.5,33,7590.0,239420.9,3.6,230.0,SPX
40,AFL,85.3,63,6596.1,246017.0,1.9,104.7,SPX
41,PEG,84.3,70,6111.0,252128.0,1.7,87.3,SPX
42,MELI,84.1,2,4109.8,256237.8,45.1,2054.9,QQQ
43,CARR,83.8,70,5082.0,261319.8,1.7,72.6,SPX
44,EXPE,82.9,30,4782.0,266101.8,3.9,159.4,SPX
45,KVUE,82.9,299,6787.3,272889.1,0.4,22.7,SPX
46,PH,82.5,13,8255.0,281144.1,9.0,635.0,SPX
47,WEC,82.1,79,7552.4,288696.5,1.5,95.6,SPX
48,LYV,81.7,63,7383.6,296080.1,1.9,117.2,SPX
49,AON,80.8,16,5830.4,301910.5,7.1,364.4,SPX
50,RMD,80.5,19,4641.7,306552.2,6.0,244.3,SPX
