Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MARA,569.1,96,1852.8,1852.8,3.3,19.3,IGV
2,NTNX,357.4,139,8770.9,10623.7,2.3,63.1,IGV
3,APP,232.2,123,7761.3,18385.0,2.6,63.1,IGV
4,PCOR,193.9,123,9667.8,28052.8,2.6,78.6,IGV
5,HUBS,141.9,18,10819.8,38872.6,17.2,601.1,IGV
6,VRNS,110.4,200,9780.0,48652.6,1.6,48.9,IGV
7,GWRE,95.7,123,13862.1,62514.7,2.6,112.7,IGV
8,TENB,71.7,213,9798.0,72312.7,1.5,46.0,IGV
9,ALTR,65.0,128,10112.0,82424.7,2.5,79.0,IGV
10,IOT,60.3,160,5728.0,88152.7,2.0,35.8,IGV
11,PLTR,42.4,266,6251.0,94403.7,1.2,23.5,IGV
12,APPF,40.2,52,11518.0,105921.7,6.1,221.5,IGV
13,MANH,39.0,59,14573.0,120494.7,5.4,247.0,IGV
14,DSGX,38.9,160,14768.0,135262.7,2.0,92.3,IGV
15,PATH,33.6,290,6612.0,141874.7,1.1,22.8,IGV
16,DOCU,30.2,168,9542.4,151417.1,1.9,56.8,IGV
17,AZPN,0.6,61,11888.9,163306.0,5.2,194.9,IGV
