Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,ETF
1,MARA,1234.7,100,2350.0,2350.0,3.6,23.5,IGV
2,NTNX,381.5,156,10264.8,12614.8,2.3,65.8,IGV
3,S,362.4,240,6600.0,19214.8,1.5,27.5,IGV
4,PCOR,182.5,128,10086.4,29301.2,2.8,78.8,IGV
5,HUBS,182.0,16,9672.0,38973.2,21.3,604.5,IGV
6,APP,176.3,120,7608.0,46581.2,3.0,63.4,IGV
7,VRNS,146.7,211,10507.8,57089.0,1.7,49.8,IGV
8,GWRE,123.1,133,15654.1,72743.1,2.7,117.7,IGV
9,ALTR,112.4,124,10230.0,82973.1,2.9,82.5,IGV
10,TENB,87.4,225,10485.0,93458.1,1.6,46.6,IGV
11,IOT,78.2,180,7056.0,100514.1,2.0,39.2,IGV
12,PATH,71.8,300,7110.0,107624.1,1.2,23.7,IGV
13,DOCU,50.9,211,11816.0,119440.1,1.7,56.0,IGV
14,MANH,43.1,63,16222.5,135662.6,5.7,257.5,IGV
15,DSGX,43.0,180,16470.0,152132.6,2.0,91.5,IGV
16,PLTR,36.0,276,7176.0,159308.6,1.3,26.0,IGV
17,APPF,32.5,50,11385.0,170693.6,7.1,227.7,IGV
18,SPSC,14.2,45,8307.0,179000.6,8.0,184.6,IGV
19,AZPN,1.9,69,14214.0,193214.6,5.2,206.0,IGV
20,ZM,0.2,189,12700.8,205915.4,1.9,67.2,IGV
